DA,Source,Target,Indexed,Source_url,Target_url
34,Careers | Hunger Inc. Hospitality,Bombay Sweet Shop,2025-06-12,"=HYPERLINK(""https://www.hungerinc.in/careers"", ""https://www.hungerinc.in/careers"")","=HYPERLINK(""https://www.bombaysweetshop.com"", ""https://www.bombaysweetshop.com"")"
45,Premium Mithai Brands in India to Make your Wedding Extra Sweet  a-for-weddings-7759681,Bombay Sweet Shop,2025-06-13,"=HYPERLINK(""https://www.localsamosa.com/food-and-drinks/premium-sweet-brands-in-indi"", ""https://www.localsamosa.com/food-and-drinks/premium-sweet-brands-in-indi"")","=HYPERLINK(""https://bombaysweetshop.com/"", ""https://bombaysweetshop.com/"")"
53,200+ Homegrown Brands: The Ultimate Indian Diwali Gifting Guide  he-ultimate-gifting-guide,here,2025-06-13,"=HYPERLINK(""https://homegrown.co.in/homegrown-supply/150-homegrown-indian-brands-t"", ""https://homegrown.co.in/homegrown-supply/150-homegrown-indian-brands-t"")","=HYPERLINK(""https://bombaysweetshop.com/pages/gifting"", ""https://bombaysweetshop.com/pages/gifting"")"
34,Additional Activity Options - NI | All India Permit,Bombay Sweet Shop,2025-06-16,"=HYPERLINK(""https://www.allindiapermit.co.nz/additional-activity-options-north-india"", ""https://www.allindiapermit.co.nz/additional-activity-options-north-india"")","=HYPERLINK(""https://bombaysweetshop.com/"", ""https://bombaysweetshop.com/"")"
35,Hunger Inc: Empire of Taste - by Rahul Sanghi,Bombay Sweet Shop,2025-06-16,"=HYPERLINK(""https://www.tigerfeathers.in/p/hunger-inc-empire-of-taste"", ""https://www.tigerfeathers.in/p/hunger-inc-empire-of-taste"")","=HYPERLINK(""https://bombaysweetshop.com/"", ""https://bombaysweetshop.com/"")"
44,Episode 322: The Life and Times of Mita Kapur | The Seen and the Unseen  mita-kapur/,Choco Butterscotch Barks  os=10&_fid=1fbac0854&_ss=c,2025-06-17,"=HYPERLINK(""https://seenunseen.in/episodes/2023/3/27/episode-322-the-life-and-times-of-"", ""https://seenunseen.in/episodes/2023/3/27/episode-322-the-life-and-times-of-"")","=HYPERLINK(""https://bombaysweetshop.com/products/chocolate-butterscotch-bark?_p"", ""https://bombaysweetshop.com/products/chocolate-butterscotch-bark?_p"")"
36,Veronicas Bombay,Bombay Sweet Shop,2025-06-17,"=HYPERLINK(""https://veronicasbombay.com/"", ""https://veronicasbombay.com/"")","=HYPERLINK(""https://bombaysweetshop.com/"", ""https://bombaysweetshop.com/"")"
36,Buzzy Billy – Veronicas Bombay,Bombay Sweet Shop,2025-06-17,"=HYPERLINK(""https://veronicasbombay.com/collections/coffee/products/buzzy-billy"", ""https://veronicasbombay.com/collections/coffee/products/buzzy-billy"")","=HYPERLINK(""https://bombaysweetshop.com/"", ""https://bombaysweetshop.com/"")"
36,Events – Veronicas Bombay,Bombay Sweet Shop,2025-06-17,"=HYPERLINK(""https://veronicasbombay.com/pages/events"", ""https://veronicasbombay.com/pages/events"")","=HYPERLINK(""https://bombaysweetshop.com/"", ""https://bombaysweetshop.com/"")"
34,Unique 10 Wedding Welcome Hampers - Eternal Wedding Diary  rand-entrance/,Bombay Sweet Shop,2025-06-18,"=HYPERLINK(""https://eternalweddingdiary.in/top-10-wedding-welcome-hamper-ideas-for-a-g"", ""https://eternalweddingdiary.in/top-10-wedding-welcome-hamper-ideas-for-a-g"")","=HYPERLINK(""https://bombaysweetshop.com/products/assorted-mithai-box-of-9"", ""https://bombaysweetshop.com/products/assorted-mithai-box-of-9"")"
37,A FILMI EDITOR'S LETTER | enthucutlet | Food Mag India | Official website of enthucutlet India  ter/,Bombay Sweet Shop,2025-06-19,"=HYPERLINK(""https://enthucutlet.com/enthuoriginals/film-vilm-food-shood/a-filmi-editors-let"", ""https://enthucutlet.com/enthuoriginals/film-vilm-food-shood/a-filmi-editors-let"")","=HYPERLINK(""https://bombaysweetshop.com/"", ""https://bombaysweetshop.com/"")"
37,Breakfast sandwiches Everywhere - Breakfast sandwiches = home  wich-everywhere/,Bombay Sweet Shop,2025-06-19,"=HYPERLINK(""https://enthucutlet.com/enthuoriginals/will-travel-for-breakfast/breakfast-sand"", ""https://enthucutlet.com/enthuoriginals/will-travel-for-breakfast/breakfast-sand"")","=HYPERLINK(""https://bombaysweetshop.com/"", ""https://bombaysweetshop.com/"")"
37,What Are You Thirsty For?ðŸ«— Archives | enthucutlet | Food Mag India | Official website of enthucutlet India,Bombay Sweet Shop,2025-06-19,"=HYPERLINK(""https://enthucutlet.com/category/enthuoriginals/what-are-you-thirsty-for/"", ""https://enthucutlet.com/category/enthuoriginals/what-are-you-thirsty-for/"")","=HYPERLINK(""https://bombaysweetshop.com/"", ""https://bombaysweetshop.com/"")"
37,"Vinay Kumar, Author at enthucutlet | Food Mag India | Official website of enthucutlet India",Bombay Sweet Shop,2025-06-19,"=HYPERLINK(""https://enthucutlet.com/author/vinay-kumar/"", ""https://enthucutlet.com/author/vinay-kumar/"")","=HYPERLINK(""https://bombaysweetshop.com/"", ""https://bombaysweetshop.com/"")"
37,Fire Sev Puri at Mehul Shreeji Ice Bhel - Borivali,Bombay Sweet Shop,2025-06-19,"=HYPERLINK(""https://enthucutlet.com/enthuoriginals/playing-with-fire/fire-sev-puri-borivali/"", ""https://enthucutlet.com/enthuoriginals/playing-with-fire/fire-sev-puri-borivali/"")","=HYPERLINK(""https://bombaysweetshop.com/"", ""https://bombaysweetshop.com/"")"
37,LENSES TO MAGNIFY OUR APPETITES | enthucutlet | Food Mag India | Official website of enthucutlet India  nify-our-appetites/,Bombay Sweet Shop,2025-06-19,"=HYPERLINK(""https://enthucutlet.com/enthuoriginals/will-travel-for-breakfast/lenses-to-mag"", ""https://enthucutlet.com/enthuoriginals/will-travel-for-breakfast/lenses-to-mag"")","=HYPERLINK(""https://bombaysweetshop.com/"", ""https://bombaysweetshop.com/"")"
37,MADHYA PRADESH | enthucutlet | Food Mag India | Official website of enthucutlet India,Bombay Sweet Shop,2025-06-19,"=HYPERLINK(""https://enthucutlet.com/enthu-maps/madhya-pradesh/"", ""https://enthucutlet.com/enthu-maps/madhya-pradesh/"")","=HYPERLINK(""https://bombaysweetshop.com/"", ""https://bombaysweetshop.com/"")"
37,FROM GOURMET TO GULLY | enthucutlet | Food Mag India | Official website of enthucutlet India,Bombay Sweet Shop,2025-06-19,"=HYPERLINK(""https://enthucutlet.com/enthuoriginals/lets-chaat/from-gourmet-to-gully/"", ""https://enthucutlet.com/enthuoriginals/lets-chaat/from-gourmet-to-gully/"")","=HYPERLINK(""https://bombaysweetshop.com/"", ""https://bombaysweetshop.com/"")"
37,enthucutlet Season 1 : A 'CURIOUS' editors letter | enthucutlet.com  tors-letter/,Bombay Sweet Shop,2025-06-19,"=HYPERLINK(""https://enthucutlet.com/enthuoriginals/curious-season/season-1-a-curious-edi"", ""https://enthucutlet.com/enthuoriginals/curious-season/season-1-a-curious-edi"")","=HYPERLINK(""https://bombaysweetshop.com/"", ""https://bombaysweetshop.com/"")"
